App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
TEENAGE CHAT & DA&TING ,DATING,3.4,5,14M,500+ ,FREE,NA,MATURE 17+,NA,"J$ULY 9!, 201-8",1^.2,4.1 A*ND $UP
Live Gir_ls Talk - Fre%e Vi-deo. Ch$at,)DA$TING,4.8,125,4.7M,"5,_000$+",-Free,0,Ma&t-ure 17+,Dating,"July $8, 2018 ",8.2,4.0.3 a-nd up
NA,DATING,4.7,791,3.7M,"10,000-+",NA,$0,Mature 17+,NA,"May 15, 20!1(8",8-.2,4.0.3 and up
Gi!rls Live @Chat - Free Te(xt@ & Video Chat,DATING,4.8,110,4.9M,"10,000+",F!ree ,0,Mature 17+,Datin^g,"J_ul^y 9), 2018 ",8.2,4.0._3 %a#nd up
O_nli!ne Girls$ Chat ,DATING,4.8,5323,3.5M,"5&0,000+",Free,0,Mature 17+,Dati_ng ,"April_ 21, 2018",NA,4.0..3 )and up
LIVE% VIDEO T.ALK,DATING,4.7,478,NA,"10,000+",Free,0,Matur(e! 1*7+,Dating,"Jun&e 28, 2018",8.2 ,4.0.3 and up
Free Dating ^App% - Meet! Local S_ingles - Flirt Chat ,DATING,4.1,NA,Varies with device,"100,000+ ",F#ree,0,M-ature .17+,Dating,"December 28, 2017",1.0.5,NA
SkyLove – Dating and ch@at,D%ATING,3.5,69,36M,"5,000+",%Free ,0,Mature 17+,Da-tin$g,"August !4, 2018",1.0.82,4.#4 an$d up
FREE L_IVE T#ALK-VIDEO ^CALL,DATING,4.7,158,4.5(M,"10,000+ ",FRE-E,0 ,M(ATURE 17+ ,D-ATING,"JULY _5, 2018",8.2,4+.0._3 AND UP
Fin+dLovin^g,DATI@NG,3.8,24 ,19M,"1,000+",Free,0,NA,Dating,"August 2, 2018",1.0.5,4.0 and up
Sugar Daddies _Dating App,DATING,2.9,53,14M,"10,000+",Free,0,Mature 17+,Dating,NA,^4.1,4.1^ a$nd up
"iPair-+Meet, @Cha&t, Dating",D!ATING,4.5 ,182986,(77M,NA,Free,0,)Mature 17+,Dating,"August 2, 2018",5.0.8,4.1 and up
Free Dating Hoo^k -Up- Me&sseng&er,DATING,3.3,1157,21.M,"100^,000+",Free,0,!Mature 17+,Dati+ng,NA,NA,4.2. and up
"Free Dating App - YoCutie - Flirt, Chat & Me&et",DA%TIN(G,4.1,97699,7%.9M,"1,000,0.00+",Free,0,Matur!e 17+,Dating,"July 10#,( 20*18",1.(230,4.0.3 an-d up
"C#HAT MEXIC-O: MEET _P^E.OPLE, FLIRT AND F^RIENDS*HIP",-DATING,NAN ,8,9.3M,"5,000+",FREE,0,@MATURE 17+,DATING,"JU^LY 2, 2018 ",3.7,4.)0.3 AND UP
Duolingo: Learn Languages Free,EDUCA)TION,4.7,6289924,Varies w&ith+ dev%ice,"100+,000,000+",Free,0,+Everyone,Educ)at)io#n;Ed@uc.ation,"Augu!st- 1, 2018 ",Varies with devic%e,^Varies with( device 
TED,EDUCA!TION,4.6,181893,18M,"10,000,00%0+ ",^F$ree,0,.Everyone 10+,Educ@atio%n,"$July 27, 201_8",3.2.5,4.1 and up
English Comm.unicatio(n - Learn English for Chines!e# (Learn En^gl#ish for (Chi(nese),EDUCATION,4.7,2544,18M,"100,000+",_Free,NA,Everyone,Ed.uca@tion,"December 29, 2017",3.^1,4.0 and up
Khan Ac+ademy,EDUCAT*ION,NA,85375,21M,"5,000,000+",+Free,0,$Everyone,Educ&ation ,"July @27, 2018",5&.@0.0,4.1 an*d up
NA,NA,4.7 ,314299,3.3M,"10,000,000+",+Fre.e,0,Everyone,E(ducation,"Ma+y 2, 201^8",1.94.9,4._0 an(d up
NA,NA,NaN,776,2!4M,"10!0-,000+",&Free ,0,Everyone,Edu-cation,"@Ju)ly 23, 2018",(1.5,4.0! and up
Princes!s Col@oring (Book ,EDUCA-TION,NA,9770 ,39M,NA,F(ree,0,NA,Education;Creativity,"Februa+ry 25,% (20#18",)1._2.8 ,4.0 and up
Learn( Spanish - Espa$ñol,EDUCATION ,4.7,NA,3.2M,"1,000,000+",NA,0,Everyone,NA,NA,1.3.8,4.0 and up
Eng#lish Grammar+ Test,(ED)UCATION,4.8 ,4075,5.1_M,"500(,(0%00+",Free,NA,Everyone,Educatio_n,"June 22, 20$18 ",2.1.8,4#.0.3 and up
Speed )Rea!ding,EDUCATION,4.6,10611,11M,"500,000+",Free,0,Everyone,Education,"May 27, 2018",2.3.7,4.0 and up
English for beginners,EDUCATION,4.6,9321,27M,"1,000,000+ ",Free,^0,Everyone,Education,"July 18, 2018 ",2.9.0,4.0 and^ up
F&lame &- درب% عقلك يوميا,EDUCATION,4.6 ,56065,37M,NA,Fr!ee,NA,Everyo#ne ,Educ&ation,"July 26, 2018",3.3,NA
Mermaids,NA,4.2,14286,Varies _with dev*ice,"5,00@0,000+",NA,0,&Every$on%e,NA,NA,Vari#es with devi@ce,4.1$ and up
"!L^ear(n Japanese*, Kor+ean, Chi&nese Of(fline & Free",EDU$CA-TIO)N,4.9,133136,26#M,"1,000,000+",Free,NA,Everyone,Education;Education,"Ju.ly 2$0, 2018",2.16.11.10,.4.2_ +and up
Kids Mo)d@e,EDU(CATION,3.8,NA,11M,"500,000+",Free,0,Everyo#ne,Education,".March$ 23, 2018",NA,@Varies )with devi.ce
PBS KIDS Vi)deo,EDUCATION,4.2,36212,Varies _with devic.e,"5,000,000+",F^re$e,0,NA,-Education;M+u_sic & Video,"$J@uly 12,^ 2018",NA,Vari_e.s wi+t^h de.vice
Dinosaur$s Colorin#g Pages,EDUCAT*I(ON,4.4,390 ,41M,"500,000+",F)ree ,!0,Everyone,Educa*tion;Education,"February- 3, ^201@8",1.1.6,4.0 and up
Cars Color%ing Pages,E.DUCATION,4.4,1090,49M,"!1,0-00,000+",.Fre(e,0,Everyon-e,Education;Crea(tivity,"February 3, 2@018",1.2.0 ,4.0 and up
Babbel – Learn Langu*ages,EDUCATION,4.3,266948,21M,"10,000,000+",Free ,NA,Every@one,Edu.cation ,"July 30, +2018",20.7.2,4+.4 a*nd up
NA,EDUCATION,4.5,342918,8(.1M,"10,000,000+ ",Free,0,Everyon+e,Educati!on,"Ju.ly -29^, 2-018",.2.24,4.0 and u.p 
M-o!nster Truck_ +Driver & Racing,EDUCATI#ON,4.4,NA,51M,"1,0^00,#0#0-0+",Free,)0,Every(one ,Education;-Ac#tion &. Ad^ve(nture,"Januar%y 19, 2017",1.0.9,2.3 and up
Learn English W)ords Free,EDUCATION,4.6,172640,1)4M,"5,000,000+",Fr#ee,0,Eve.ry#on_e,E)ducation,"-Ma+y 2, 2018 ",NA,4.1 and u$p
NA,E+DUCATION,3.9,61,18M,"50,0.0$0+",Free,0,Mature 17+,Edu&cation,"May 28^, 2018",1.4.2,5.0 and up
Engli)sh speaking- tex.ts,EDUCATION,4.4,1619,^3.^0M,"1,000,000+",Fr+ee,0,Everyone,^Ed!ucatio-n,"July 2^0, 20*18",NA,1-.6 and %u@p
T#hai Handwriting,EDUCATION,4.3,3168,19&M,NA,Free,0 ,E@veryo^ne,Education,"Oct.ober 26, 2017",3.1,4.4 $and up
T*HAI( DICT 2018,EDUCATION ,NA,29855,VARIES WITH DEVICE,"1,000,000+",*F@REE,0,MAT&URE^ 17+ ,EDU&CATI)ON ,"JULY 29, $2018",VA$R-IE@S WITH DEVICE ,VARIES WITH DEVICE
Kanji test. @· Han( search Ka&nj)i *training (free v*ersion) ,NA,4.2 ,NA,22M,"1,000,000+ ",Free,NA,Matur*e 17+ ,Educ&a+t*i%on ,"October 17, 2017",2.51.0,4.0.3 and up 
Game for) KIDS: .KIDS match'em,EDUCATION,4.4,7005,NA,"1,000,000+",Free,0 ,Ev@eryone ,Educati)on,"Oct#ober 2.3, 2016 ",1.17,2.3 an_d up 
FLIP#PY $CAMPUS -) BUY &) SELL^ ON .CAMPUS #AT A DISCOUNT,-EDUCA!TION ,4,NA,7.4M,"500,)000+",NA,0,EV@ERY*ONE,@EDUCATION,"MARCH& 9, 201!8",2.2.4,4.2 AND UP
Free# in%t_ellect_u$al trainin@g game( +appli^cat(ion *|,E*D$UCA#TION,4.2,5741,NA,"1,000,000*+",Free,0,E+very^one ,Education;^Pr&ete.nd P-lay,"July 2-5$, 2018",3.7.0,4.4 and up
ABC Pr.eschool Free,ED%UC*ATION,3.8,27572,25M,"5,000,0)00)+",Free,0,Everyone ,Edu*cation;Educ*ation,"Octobe(r 25, 2017",3.-0,2.3 and up
PINKFONG Bab)y# Sh.ark,EDUCATION,4.5 ,10852,1$8M,"1,000,0!00+",-Fre+e,0,Ever&yone,Education,"+Nove^mber 28, 2017",10,4.1 and up
English words applicatio%n m@i$kan ,-EDUCATION,NA,NA,Var%i%es with device,"500,0%00-+",Free,0,Ever$yone,!Educati(on,"July 30, 2018",Var(ies w#ith d_evi#c%e,4.1 and up 
Learn Engli$sh for beginners ,EDUCATION,4.5,1929,2.5M,NA,Free,0,Everyone,Education,"September 28, !201^7",1.1,2.3 and up
NA,ED)UCATION,4.3,1516,3.9M,"100&,00^0+",Free,0 ,)Everyone ,NA,")July 28$, 2018",NA,4.1 and up
$Lumosit%y^: #1! Brain Games & Cognitive Training App,EDUCATION,4.2,215301,NA,"10,00#0,000)+ ",Fr$e)e,0,Everyone,Education,"August 1, 2018",Va(ries with device,Varies with device
Lear-n English% from P@ersian: +P)ersian .to En-glish,E.DUCA^TION,4.3,423 ,21M,"100,0.00+",Free,0,Everyon!e,Education,"A_pril 3, 201!8",6.0,4.0.3 and up
*English) w!ith L%ingualeo,EDUCATION,4.7,254519,27M,"5,000,000+",F.re@e,0,Ev-eryon&e,Education,NA,2-.8.1,4.1 and up
"Learn languages#,- gr*a@mmar & v!ocabulary .with Memrise",EDUCATI_ON,4.7,1107903,Va!rie%s w@ith- )device,"10,000,000+",Free,0,Everyone,Education,"Aug(ust 2, _2^01_8",Varies wi$th device,Varies with device
Kh-an Academy,EDUCATION,4.6,85375,21M,"5,#000,000+",Free ,0,Ev)eryone,Education,"July! 27, 2018",5.0.0 ,4.1 and up
+TED,EDUC)ATION,4.6,181893,18M,"1)0,000,00.0+",NA,0 ,%Everyo%ne 10+,Education,"July 27, 201^8",+3.2.5,4.1 and !up
Qui!zlet: Learn Languages & Voc_ab@ with Flashcards,EDUCATION,4.6,211856,(Varies with device ,".10@,000,000^+",Free,0,E(veryone,Education,"August 1, 2018",Varies (wi)th device ,@Varies with device
Udemy - )Online Courses,EDUCATION,4.5,NA,18M,"1,000,000+",Free,)0,Everyo*ne,Educa^tio)n,"A_ugust 2, 2018",5.0.4,5.0 a*nd up
Co-ursera: @Online courses,NA,4.4,90481,Va+ries with device,"5,0*00,000+",F^ree,0,Everyone,Educ.ation,"July 27, 2(018 ",Varies with% device,Varies% with devi%ce
"e-dX - Online C$o^urses@ b#y Harvard, MIT & mor*e",EDUCATION ,4.6,32381,10M,"1,000,000+",NA,NA,Everyon&e 10^+ ,Education,"Ju+ly 15, 2018",2.15.1,NA
Elevate - %Brai%n Training$ Gam@e.s,E!DUCATION,NA,248912,@Varies wi)th device,"5,000,0)0*0+",Free,0,Eve+ry*o%ne,$Educat@ion,"July 30,$ 2018",V_aries wit%h d+evice,Varies with device
NeuroNation - @Foc*us #a.nd Brain Training,ED@UCATIO*N,4.5,248555,Var#ies& with device,NA,Free ,0,%Eve@r-yone,&Educati&on;Brain Games ,"May 23, )2018 ",Varies with device,4.0.3 and up
Lumo.sity: #1 Brain Games & Cognitive T)raining %App ,EDUCATION ,4.2,215301,Varies with -device,"10.,#000,00%0+",F_ree,0,Ev(e%ryo&ne,Edu^cat&ion,NA,Varies wit^h device,Varies with d#evice
Peak – B$rain Games !& Training,EDUCATION,4.4,272145,V^ari^e*s wit)h de.vice,"10,000,0&0&0)+",Free,0,Everyone ,NA,"August 3,% 2018",3.14.15,5.0 and up
me.morado - brain g-ames,education,4.4,56897,_97m,NA,f_ree,0,@ev-eryone,ed-uc%at%io$n;brain ga$mes,"january 16, 2017",1.10.0,4.1 and up
L@ynda - Onl#ine Training Videos,EDUCATION,4.2 ,NA,17M ,"1,000,000++ ",NA,0,Everyone,NA,"July 11, 2018",4.(9.10 ,4.1 *and !up
B.r.il&l.i*ant,EDUCATI_O&N ,4.5,41185,(Varies with device,"1,00#0,000+",-Free,0,Everyone,Educat(ion,"August !3, 2-018 ",V*aries@ with device,Varies with device
CppDroid - C/C++ IDE ,EDUCATION,4.1,29980,Varies with device,"1,000,#000+",Fr!ee,NA,%Ever!yone ,Edu+cation,"August 17, 2017",%Varies with device ,Va-ries with device
QUIZ&LEARN (PYTHON ,EDUCATION ,4,304,2.0M,NA,NA,0 ,EVER-YONE,$EDUCATION,"-JULY 4, 2016",1.3.0,4.0 -AND U^P
C*++ Tuto%ri@als,EDUCATION,4.1,358,1%.9M,"50,000+",Free,)0,Everyone,Education,"August 21., 2014",.1.1,.2.3 and$ up
C++ Pro-gramming ,*EDUC#ATIO@N,4.3,11904 ,1.8+M,"1,0.00,000(+",Fr+ee,0,Everyone,Educa!tion,"August 22, 2015",2.0,2(.(3. and u!p
C Programm%ing,EDUCATION,4.3,22251,1.8M,"1,000,000+",Free,0,E$ve^r.yone,E%ducation,"Jun@e 28, 2015",3.0,2.3+ and@ .up 
Udacity - $Lifelo#ng Learnin%g,EDUCATIO$N,4.3,22384,17M,"1,000,000*+ ",Free,0,Everyon(e,Educ+ation,"July 31, 2+018",4.7.0,5.&0 and u(p
Udemy _- Online C.ourses,EDUCATIO*N,4.5,99020,18M,"1,000,000+",F^ree,NA,Everyone,Educat&ion,NA,5.0^.4,5.0 and u#p 
Learn C+.+,EDUCATION,4.6,73404,5.(3M,"1*,$000,000+",Free,-0,+Every)one,Ed#ucation,"Dece-mber 2_5, 2-017 ",4.5.^2,4.0 a_nd. up
Learn progra)mm_ing,NA,4.1,12733,Varies wit$h device,"1,000,@000+",.Free,0,Every)o$n.e,Ed^ucation,"May 20, 2018",Varies w%ith de!vice,Varies wi-th device
Learn JavaScrip^t,&E)DUCATION,4.6,25183,%5.4#M,"1,000,00%0+",F)ree ,0,Everyo&ne,Education,"December 25-, 2017 ",5.7.2,4.0 and up 
L(earn Java,EDUCAT^ION,4.7,52743,5.)4M,NA,Free,0,Eve_ryo!ne,Educ&ation,"D_ecember _25, 2017",3.5.2,&4.0 and %up
L)earn HTML,EDU@CATION,4.7,NA,5.4M,"1,000,000+",Fr.ee,0,Everyone,Educat+ion,"Decem)b+e$r 25), 2017",NA,4.0 and. up
"Progra$mming Hub, Learn to &co(de",EDUCATION ,NA,55704,15M,"1,^0-00,000+",Free,NA,Everyone,Education,"Au#gu$st 4, 2018",4.2.8,4.1 !and up
Lear-n SQL ,ED_UCATION,4.7,NA,5.3M,"1+,000,000+",Fr-ee ,0,Everyone,E(du&cation,"December 25, 2017",3.4.2,4-.0 and up
R@eady4 SAT (Pr&ep4 SAT),EDUCATION ,4.6,13612,48M,"10)0,000+",Free,0,Everyone,Education ,"May 10, 2018",7.2.+3633,4.4 and &up
socr%a&tic - mat$h answers & homework help,ed+u#c_a-ti+on ,4.6,37862,5.4m,"$1,00+0,000+",fre(e,NA,everyone,education ,NA,1.8.1,4.(1 and u+p
Read-y*4 GMAT (Prep4 GMAT),EDUCATION,NA,18372,47M,"100,000+",Fre+e,0,Everyon(e,@Education ,"May 21, 2018",7!.2.-3634,4.4 and up
PO%CKET GMAT MATH,EDUCATION,NA,656,556K ,"10,000+",FREE,0,EVER!Y_ONE ,EDU+CA*TION,".JULY 11, 2014",1.1 ,2.2 ^AND UP
GMAT Question$ Bank,EDUCATION,4.2,240,29M ,"10,000+",Free,(0,Everyone,Education,"April 29#, 2015",NA,2..3.3 a@nd up
GRE Tutor,E_DUCATION,4,275,NA,"50,&000+",F-ree,0,Everyone,Educatio*n,".December 2, 2013",2.9,2.1# &and@ up
GRE Fl)a$shca^rds,EDUCATI_ON,4.5,13791,Varies with devic_e,"500$,000+",Free,0,Everyone,Educa@tion,"June 6, 201+8 ",Varies with device ,NA
"play2pr(ep: ACT, ^S$AT prep",EDUCAT+ION,4.2 ,3692,4.4M,"100,000+",Fre)e,0,Everyo!ne ,Education,"J_u.ly 23, 2015",4.1.3,2.3!.3 and up
SAT Test,EDU#CATION,4.1,2363,6._6M ,"100,000+",F&ree,0,Ev!eryo%n@e ,Education,"No^vember 17, 2016 ",NA,4.$0 *and up
NA,EDUCATION,4.4,1769,Varies with& device,"100*,00_0+",Free,0,Everyone,%Educ!ation,"July. 11, $2018 ",Varies with !device,NA
Pocket% SAT Math,E_DUCATIO@N,NA,430,526k,"10,000+",Fre^e,0,Everyone,NA,"July 11, 2014",1.2,2.1 and u(p
TOEFL Prep & Practice% from Magoosh,EDUCATION,4.5,756,12M,NA,Free,0,@Ev_eryo+ne,Education,"June 18, *2018",@3.%2.0,4.1% an+d- up
GRE #Prep & Pra$c$tice by Magoosh,EDUCA^TION,4.4,3963,Varies with device,"&100,000+",Free ,0,Ev*eryo-ne,Education,"June 6, 2018",Varies w*ith device,NA
GRE® Flashcards by Ka&pl%an,NA,4,316,29M,"50,000+",F(ree,0,Ever*yon-e,Education,"Fe#bruary 15-, _2017",NA,NA
SAT Voca(bu@lary,EDUCATION ,4.2,642,Var)ies with device,"50,000+",Free ,0,Everyo-ne,Education,"Ju&ne 5, 2(018",NA,Varies with_ dev@ice
Magoosh G!M@AT Prep & Pr.actice,EDU@CATION,4.3 ,1058,Varies with device,"100(,000+",Fr@ee,0,Everyone,Educatio%n,"June 18, 2018",Varies with device,Var*ie_s w.it+h &de-vice
SAT Flashcards: Prep & Voc&abu_lar)y,EDUCA.TION,4.2,2277,Varies with dev*ice,"100,000_+",Free,0,Ev@eryone,Educatio#n,"#N&ovember @7, 20)17",Varies with^ device,Varies w+ith d$evice
Khan Academ&y,ED!UCATION ,4.6,85375,21M,"5,000,000+",Free,-0,E-veryone,Educ$ati.on,"Ju)ly 27, 2018",5.0.0,4.1 and up
TED,E^DUCATI)ON,4.6 ,181893 ,18M,"10&,000(,000+ ",Free,NA,NA,Education,"July -27, 2018 ",3.2.5,4!.1 and up
Duolingo: Learn La!nguages Free,EDUCATION,4.7,NA,NA,"100,000,000+ ",Fre%e,)0,Everyon_e,Edu+cation);Education,"Augu^st% 1$, 2018",V(aries *with( d_e-vice,Varies with de-vice
Qu.izlet: Learn! ^Language(s & Vocab with Flashcard(s,ED$UCATION,4.6,211856,Varies^ w(ith device,"10,00@0,_000+",Free,0,Every$on%e,E*du!cati!on,"-August 1, 2018",Varies_ with dev_ice,NA
Course(r)a: Onlin+e courses,E!DU!CATION,4.4,90481,Varie-s with device,"5,000,-000+",Free,0,NA,Education,"July 27_, 2018",Varies wi)th+ d+evice,Varies %wit.h device
NA,&EDUCA*TION,4.5,99020 ,18M ,"1,000,000+",FREE,NA,EVERYONE ,NA,"AUGUST 2, 2$018",5-.0.4,5.0 AND UP
NA,NA,4.3,NA,17M,"1,000,000+ ",FR.EE,0 ,EVER@YO_NE,EDUCATION,"JU%LY( 31, 2018",4.7.0,5.0 AND UP
"ed%X - Online Co#urses by H%arvard, MIT+ & more",EDUCATION,4.6,32380,10M,"1,000,000+",Free,0,Everyone 10-+,Edu+c+ation,"July 15, 2018",2.15.(1 ,4.-1 a%nd u^p
Rosetta !S*tone: Learn t!o Speak & .Re&a^d New Language$s,EDUCATION,4.5,NA,76M ,"-5,000,0*00+",Free,0,Everyone,Education;Education,"J-une 27, 201@8",5.2.1,5.0. and up
NA,EDU@CATION,4.2,69493,Varies with device,"10,000,#000+ ",NA,0,E-ve+ryone,Education,"Jul#y# 19, 2018",Varies$ with device,Varies with+ device
L^ynda - Online Trai%ning *Vide#os,EDUC#ATION,4.2,8599,17M,"1,_00#0+,(000+",Fr.ee,0,E)veryon$e,E#duc#ation,"July 11, 2&018",4.9..*10,4.1 and up
"&Learn languages, !gr-a.mm*ar & vocabulary with Memrise",@EDUCATION,4.7,1107884,Va*r(ies with device,"10,-000$,000+",Free,NA,Everyone,NA,"Augus+t 2, 2018",NA,Va(ries wit+h d%evice
Bril!lian&t,EDUCATION,4.5,NA,Varies wit_h d!evice,"1,000,000.+",Fre@e,0,Everyon$e,Edu)c#ation,"_Augus$t 3, 201(8",Varies- wi&th de(vice,Varies with d.evice
LinkedIn Lea-rn%ing: Onl(ine Courses to Learn Skills,EDUCATI)ON,4.6,NA,18M,"1,00!0,000+",Free,0 ,E_veryone,Educat#ion,NA,NA,4.4 and up
Babb$el – -Le#arn Lan*guages,NA,4.3 ,266935,21M,"1)0,000,_000+ ",Fr*ee ,0,Everyone,Education,"Ju+ly 30+, 2018",20..7.2,4@.4 *and up
Learn English with Phr-ases,EDUCATION,4.2,5695,_Varies with_ de!vice,NA,Free ,0,Eve+ryon*e,Educatio@n,"Sept)ember 2#8, 2017 ",Varies with device,Varies with% de^vi%ce
Free #english %cou^r^se,*EDUC)ATION,4.7,142632,6.9M,"5+,$000,000+",Free,*0,#Ever&yone,E)ducati!on,"July 12, 2018",$2.8,4.1 an%d up
Du-olingo: Lea_rn Languages Fre-e,EDUCATION,4.7,NA,NA,"100,0^00,_000+",Free,0,Everyon(e,Education;Educat)ion ,"August& 1, 2018",Varies wit*h devic@e,Var_i_es( with device
Le^arn 5.0 lang_uages,EDUC&AT(ION,4.4,55256,14M,"5,0!00,000+",F%ree,0,Ev#eryo@ne ,Education,"Ju+ne 19, 2018",.1&0.9.1,%4.0 an!d u#p
Rosetta Stone: Learn to@ Speak @& Re&ad N^ew Language$s,NA,4.5,172508,76M,"5_,000,.000+",F+re&e,0,Everyone,Education;Education,NA,5.2.1,NA
B@abbe.l – %Learn Spanish,ED@UCATION,4.4,NA,11M,"1,0$00,000+",Free,0,NA,*Edu)cation,"Jul&y% 30, 2018",20.7.2,4+.4 and up
Man(go Langu(ages: Lovable Lang_ua$ge Course!s,^EDUCATION,4,4815,19M,"500,000+",Free,0,Eve_r)yone,Education,"July )17^, 2018",4.2.3,*4.2 and up
NA,E&DUC#ATI)ON,4.6,75112,6.5_M,"1,$000,000+",F$ree,0,$Everyon_e,Educ.ation,"Novembe!r 11, 2017",2.09,4.1 and^ up
#Learn to Speak English,EDUCATIO&N,4.4,33646,7.0M,"1,000,000+",Free,0,Everyone,Educ@ation,"J.uly 15, 2018",2.3.9,4.&0 %and up
"Learn. languages, gra%mmar && v^ocab!ul_ary+ w+i#th Me^mri$se",EDUCA@TION ,4.7,1107903,Varies with- device,"10,000,000+",Free,$0,Everyone,Education,"August 2^, 2^018",V$aries with device,Varies with devi-ce
L!earn English with Wli!ngua,ED$UCATION,4.7,314300,3%.3M,"10,0.00,000+",NA,0 ,NA,E%ducat#ion,NA,1.94.9,4.)0 and_ up
"BUSUU: LEARN LANGUAG#ES@ - SPA-NISH, .ENGLISH & MORE",EDUCATION,4.3,206527,21M ,"10,000,000*+",FREE,0,EVERYO!NE 10+,EDUC^ATIO$N,"AUG-UST 1,_ #2018",13.9.0.&161,5.0 AN!D UP
My Class Schedule: Timetable,EDUCATION,4.1,9348,Va+ries wi@th de^vice,"1,00$0,!000+",Free,0,Everyone,!Education,"June 1,_ *2016",Varies with device ,Varies with device 
Study Checker,ED-UCAT_ION,4.2,3816 ,2.6M ,"!50$0,000+",F-ree,0,#Everyone,Education,"+May 4, 2016",3.6.0.115_FN,2.3 and up
My Study L(ife - School Planner ,EDUCATION,4.3,47847,21M,"1,000,0(00+",Free,0,Everyone,Education,"June 13, (2017",6.1.3,4.0.3 a)nd up
Home+Work,EDUCATION,4.3,16195,5.2M,"1!,000,000+",NA,0,Everyone,Educati%on,"September 20, 20^16 ",8.5.2,4.0 an&d up
Next G@en Scien+c!e Standards,EDUCATIO.N,4.3,NA,18M,"50,000+",Free ,0,Everyone,Ed!ucatio(n,"D&ecember $20, 2016",1).12.1,2.3 and up
-myHomew+ork+ ^Student Planne(r,EDUCATI+ON,4,28392,Varies _with d%evic+e,"1,000,0%00+",Free,)0,Everyone,NA,"March 7, 2_018",Varies with device,Varies with$ device
Teacher's Gr#adebook -& Additio,EDUCATION,4.2,3241,1$6M,"100+,000+ ",NA,.0,!Eve.ryone,Educat!ion,"August 1, 2018",4.8.2,4.0_.3 +and up
Co_mmon Core,EDUCATION,4,835,-15M,"100,000+ ",.Free,NA,Everyone,Ed)uc(at.ion,".December 20, 2016",2.3.1 ,2&.3 and up
Homework Pl&anne@r,EDUCATION,4,2525,1.2M,"1!00,000+",Free,0,Everyone,#Educa*tion,"Janua@ry 11, 2015",15!.9.4,4.0 and up
TeachersP*ay#Teacher.s,EDUCATION,3.8,828,Varies) with devi#ce,"100,#000+",Free ,0,NA,Edu.ca^tion,"October 1, 2017",Varie(s with device,Varies with% dev-ic$e
Qu_izlet_: Learn )Languages & Vocab !with Flas.hcards,%E(DUCATION,4.6,211856,Varie)s with( device,"10,000,000+",Free,0,Everyon@e,Education ,"August 1, 2018",Varies with device,Varies with device
Edmodo,ED&UC(AT*ION,4.1,200058,18M,"10,000,000+",Free,0 ,Everyone,-Ed_ucation,"Jul^y 20, 2018",9.12.(5,4.0.3% a&nd up
Socrative Teacher,EDUCAT@ION ,3.9,1239,1.8M,"100,)000+",Free,0,Everyone,Education,"July .29, _2016 ",4.4.1,#3.+2 and up
Trai%ning sch(edu(le - AllUniver,EDUCATI&ON,4.1,702,7&.6)M,"10,00&0+",Free ,0,Everyone ,Education ,"Oct_ober 16, 2017",5.0,4.+4( and up
Remi&n+d&: School Comm-unication,EDUCA&TION,4.5,108613,NA,"1)0,000,00%0+",Free,NA,^E(veryon(e,Education ,"August 3, 2018",Varies with- dev#ice,Varies wi^th* dev+ice
Go)ogle Cl+assroom,NA,NA,69498,Varies with device,NA,Free ,0,Everyone,Education,"July 19,* 2018",Varies) wi+th device,Va)rie&s wi!th+ dev#ice
Cla@ssDojo,%EDUCA@TION,4.4,148550,(59M,"&10,00#0,000+",%Free,0,Everyon(e,Ed%ucation;Education,"#Au)gust 3, 2018",4@.21@.1,4.1 a^nd up
Du%olingo: Learn Lan*guages *Free,EDUCATION,4.7,NA,%Varies wit%h +device,"100,000,^000+",Free,0,Everyone,Edu)cat@i^on;Education,NA,+Va*ries wit-h device,Varies wit+h device
-Lern@i. Learn_ language-s$.,EDUCATION,4,3847,6.+9)M,NA,Free,0,Eve+ryone,Education,"Octobe.r 2*5, 20*17",NA,^3.0 and up 
Learn 5+0 langu^ages,EDUCATION,4.4,55256,14M,NA,Free,0,Eve!ryon$e,Educa#tion,"June 19, 2018",10.9.1,4.0 and! up
"HelloTalk .— Chat, Spea)k & Learn For&eign Languages",EDUCAT*ION,4.4,84309,41M ,NA,Fr-ee,0,Everyone,Educa&t^ion,"Jul&y 25,# 2018",2.6%.6,&4.1 .and up
M+ango Langua+ges: Lovable_ La.nguag(e .Courses,EDUCATION,4,4815,19M,"500,000+ ",Free,0,Everyone,NA,"July& 17, 2018",4*.2.3,4.2 +and up
Roset^ta S$t^one: Learn to% Spe-ak & Rea-d@ New La%n$guages,EDUCAT$ION,4.5,172508,76M ,"5,000,000+",Free,&0,.E&veryone,Ed@ucati-on;Educat&ion,"June 27, 2018",5.2.1,5.0 a%nd up 
"L!earn (l@angu!ages, gr*ammar & vocabulary with Mem@rise",EDUCATION,4.7,1107948 ,Var%ies with devic_e,"10,000,000+ ",Fr$e$e,0,Everyone,Education,"August 2,* 2018",Varies with device,Varies w%it.h device
Babbe.l – Learn Languages,EDUCATION,4.3,NA,21M ,"10,000,000+",Fr@ee,0,Eve!ry%on&e,Education,NA,NA,4.4 and up
NA,EDUCATION,4.5,14206 ,2.1M,"500,000+ ",Free,0,$Everyone,Education,"July 26, 2018",1.16 ,3.0 and up
